Time,load_MW,solar_MW,wind_MW,net_load_MW,source,as_of_date,hour,ev_load_MW_low,net_load_plus_ev_MW_low,ev_load_MW_mid,net_load_plus_ev_MW_mid,ev_load_MW_high,net_load_plus_ev_MW_high
2025-01-13 00:00:00-08:00,21884,0.0,976.1666666666666,20907.833333333332,CAISO via gridstatus,2025-01-13,0,1046.16888107852,21954.002214411852,1459.4055891045355,22367.238922437868,1726.178653779558,22634.01198711289
2025-01-13 01:00:00-08:00,21303,0.0,1252.1666666666667,20050.833333333332,CAISO via gridstatus,2025-01-13,1,837.1732844859146,20888.006617819246,1167.856731857851,21218.690065191182,1381.3359194017592,21432.16925273509
2025-01-13 02:00:00-08:00,21097,0.0,1347.8333333333333,19749.166666666668,CAISO via gridstatus,2025-01-13,2,541.2132955264626,20290.379962193132,754.9925472594155,20504.159213926083,893.0019376186634,20642.168604285333
2025-01-13 03:00:00-08:00,21057,0.0,1558.4166666666667,19498.583333333332,CAISO via gridstatus,2025-01-13,3,319.2080056163003,19817.79133894963,445.29516783473895,19943.87850116807,526.6932092668955,20025.276542600226
2025-01-13 04:00:00-08:00,21164,0.0,1706.0833333333333,19457.916666666668,CAISO via gridstatus,2025-01-13,4,182.7056520988478,19640.622318765516,254.87438467789266,19712.79105134456,301.4643259630989,19759.380992629765
2025-01-13 05:00:00-08:00,22744,0.0,2456.4166666666665,20287.583333333332,CAISO via gridstatus,2025-01-13,5,138.14861677207995,20425.73195010541,192.71732039705154,20480.300653730385,227.94521767393192,20515.528551007264
2025-01-13 06:00:00-08:00,25028,0.0,2737.9166666666665,22290.083333333332,CAISO via gridstatus,2025-01-13,6,209.14566010436522,22499.228993437697,291.7581958455895,22581.84152917892,345.0903391722026,22635.173672505534
2025-01-13 07:00:00-08:00,26957,2434.75,2703.75,21818.5,CAISO via gridstatus,2025-01-13,7,377.7268613697238,22196.226861369723,526.9289716107647,22345.428971610763,623.2493212600443,22441.749321260046
2025-01-13 08:00:00-08:00,27197,11160.083333333334,2609.1666666666665,13427.75,CAISO via gridstatus,2025-01-13,8,548.1524392944,13975.9024392944,764.672652815688,14192.422652815689,904.45152483576,14332.20152483576
2025-01-13 09:00:00-08:00,26633,15188.333333333334,2777.9166666666665,8666.75,CAISO via gridstatus,2025-01-13,9,616.1275139760697,9282.87751397607,859.4978819966174,9526.247881996618,1016.6103980605152,9683.360398060515
2025-01-13 10:00:00-08:00,25270,15508.25,3101.1666666666665,6660.583333333334,CAISO via gridstatus,2025-01-13,10,588.0331111955833,7248.616444528917,820.3061901178388,7480.889523451173,970.2546334727125,7630.837966806046
2025-01-13 11:00:00-08:00,24658,15294.083333333334,2954.5,6409.416666666666,CAISO via gridstatus,2025-01-13,11,530.6393621657975,6940.056028832463,740.2419102212875,7149.658576887954,875.5549475735659,7284.971614240232
2025-01-13 12:00:00-08:00,23996,15277.916666666666,2498.0,6220.083333333334,CAISO via gridstatus,2025-01-13,12,498.49102688042507,6718.574360213759,695.394982498193,6915.478315831527,822.5101943527014,7042.5935276860355
2025-01-13 13:00:00-08:00,24364,15242.833333333334,2214.6666666666665,6906.5,CAISO via gridstatus,2025-01-13,13,474.86304645488434,7381.363046454884,662.4339498045637,7568.933949804564,783.5240266505592,7690.024026650559
2025-01-13 14:00:00-08:00,24831,15093.416666666666,2079.5833333333335,7658.0,CAISO via gridstatus,2025-01-13,14,449.1349160938244,8107.134916093824,626.5432079508851,8284.543207950885,741.0726115548104,8399.07261155481
2025-01-13 15:00:00-08:00,23528,11797.916666666666,1595.6666666666667,10134.416666666668,CAISO via gridstatus,2025-01-13,15,413.22168689025705,10547.638353556926,576.4442532119086,10710.860919878576,681.8157833689241,10816.232450035592
2025-01-13 16:00:00-08:00,24564,2900.5,1191.9166666666667,20471.583333333332,CAISO via gridstatus,2025-01-13,16,322.34529400994285,20793.928627343274,449.67168514387026,20921.2550184772,531.8697351164058,21003.453068449737
2025-01-13 17:00:00-08:00,26791,0.0,785.8333333333334,26005.166666666668,CAISO via gridstatus,2025-01-13,17,315.1925130257562,26320.359179692423,439.69355567093,26444.860222337596,520.0676464924978,26525.234313159166
2025-01-13 18:00:00-08:00,27194,0.0,715.0,26479.0,CAISO via gridstatus,2025-01-13,18,365.14739940115334,26844.147399401154,509.38062216460895,26988.38062216461,602.4932090119031,27081.493209011904
2025-01-13 19:00:00-08:00,26759,0.0,715.3333333333334,26043.666666666668,CAISO via gridstatus,2025-01-13,19,387.9496608974527,26431.61632756412,541.1897769519466,26584.856443618613,640.116940480797,26683.783607147467
2025-01-13 20:00:00-08:00,26284,0.0,761.9166666666666,25522.083333333332,CAISO via gridstatus,2025-01-13,20,416.9636647056716,25939.046998039004,581.6643122644119,26103.747645597745,687.9900467643582,26210.07338009769
2025-01-13 21:00:00-08:00,25792,0.0,850.6666666666666,24941.333333333332,CAISO via gridstatus,2025-01-13,21,581.8738541513253,25523.20718748466,811.7140265410989,25753.047359874432,960.0918593496868,25901.42519268302
2025-01-13 22:00:00-08:00,24342,0.0,989.25,23352.75,CAISO via gridstatus,2025-01-13,22,719.0562984609893,24071.80629846099,1003.0835363530801,24355.83353635308,1186.4428924606325,24539.192892460633
2025-01-13 23:00:00-08:00,22863,0.0,1063.0,21800.0,CAISO via gridstatus,2025-01-13,23,1007.317955344241,22807.317955344242,1405.2085477052165,23205.208547705217,1662.0746263179979,23462.074626317997
